player 0 18
goal 24 1
platform 6 18 8
platform 7 18 9
platform 8 18 9
spike 5 18 0
spike 4 18 0
spike 8 17 0
platform 9 18 9
platform 10 18 10
spike 11 18 0
spike 12 18 0
platform 13 16 11
platform 13 17 4
platform 13 18 4
spike 14 18 0
spike 15 18 0
platform 16 14 8
platform 17 14 9
platform 18 14 10
platform 16 15 1
platform 16 16 1
platform 16 17 1
platform 16 18 1
platform 18 15 3
platform 18 16 3
platform 18 17 3
platform 18 18 3
spike 19 18 0
spike 20 18 0
platform 21 12 8
platform 22 12 9
platform 23 12 9
platform 24 12 10
spike 21 11 0
platform 21 13 1
platform 21 14 1
platform 21 15 1
platform 21 16 1
platform 21 17 1
platform 21 18 1
platform 24 13 3
platform 24 14 3
platform 24 15 3
platform 24 16 3
platform 24 17 3
platform 24 18 3
platform 17 10 15
platform 16 10 14
platform 15 10 13
spike 15 9 0
platform 12 12 15
platform 11 12 14
platform 10 12 13
platform 6 10 15
platform 5 10 13
platform 1 8 10
platform 1 9 7
platform 0 8 9
platform 0 9 6
platform 5 7 13
platform 6 7 14
platform 7 7 14
platform 8 7 14
platform 9 7 15
platform 6 5 5
platform 7 5 7
platform 6 4 1
platform 7 4 3
platform 6 3 1
platform 7 3 3
platform 6 2 1
platform 7 2 3
platform 6 1 1
platform 7 1 3
platform 6 0 1
platform 7 0 3
platform 12 5 8
platform 12 6 5
platform 13 5 9
platform 13 6 6
platform 14 5 9
platform 14 6 6
platform 15 5 9
platform 15 6 6
platform 16 5 9
platform 16 6 6
platform 17 5 9
platform 17 6 6
platform 18 5 9
platform 18 6 7
platform 19 4 8
platform 19 5 6
platform 20 4 9
platform 20 5 6
platform 21 4 9
platform 21 5 6
platform 22 4 9
platform 22 5 6
platform 23 4 9
platform 23 5 6
platform 24 4 9
platform 24 5 6
spike 14 4 0
spike 15 4 0
spike 18 4 0
spike 19 3 0
spike 20 3 0
spike 23 3 0
spike 24 3 0
