player 0 18
goal 24 18
platform 0 14 6
platform 1 14 6
platform 2 14 6
platform 3 14 6
platform 4 14 6
platform 5 14 6
platform 6 14 6
platform 7 14 6
platform 8 14 6
platform 9 14 6
platform 10 14 6
platform 11 14 6
platform 12 14 6
platform 13 14 6
platform 14 14 6
platform 15 14 6
platform 16 14 6
platform 17 14 6
platform 18 14 6
platform 19 14 6
platform 20 14 6
platform 21 14 6
platform 22 14 6
platform 23 14 6
platform 24 14 6
platform 3 17 0
platform 3 16 0
platform 3 15 0
platform 3 18 0
spike 5 18 0
platform 7 18 -1
platform 7 17 -1
platform 7 16 -1
platform 7 15 -1
platform 8 18 8
platform 9 18 10
spike 8 17 0
platform 10 18 0
platform 10 17 0
platform 12 15 -1
spike 11 18 0
platform 16 18 0
platform 20 16 -1
platform 20 17 -1
platform 20 18 -1
spike 17 18 0
spike 18 18 0
spike 19 18 0

platform 13 
